#Duplication rate	Coverage
1.0	6380751.0
2.0	7323412.0
3.0	1108532.0
4.0	2704792.0
5.0	500508.0
6.0	1371313.0
7.0	296326.0
8.0	739139.0
9.0	188059.0
10.0	406083.0
11.0	121146.0
12.0	231087.0
13.0	79624.0
14.0	138182.0
15.0	53369.0
16.0	86885.0
17.0	36735.0
18.0	58628.0
19.0	27197.0
20.0	41694.0
21.0	20359.0
22.0	31193.0
23.0	15933.0
24.0	24166.0
25.0	12839.0
26.0	18998.0
27.0	10674.0
28.0	15447.0
29.0	8714.0
30.0	12662.0
31.0	7408.0
32.0	10548.0
33.0	6344.0
34.0	8993.0
35.0	5575.0
36.0	7737.0
37.0	4664.0
38.0	6520.0
39.0	4220.0
40.0	5687.0
41.0	3850.0
42.0	5023.0
43.0	3431.0
44.0	4320.0
45.0	2913.0
46.0	3866.0
47.0	2821.0
48.0	3469.0
49.0	2532.0
50.0	95686.0
