#Coverage (X)	Coverage
1.0	20.11784783147371
2.0	18.729458272929293
3.0	13.653147709922493
4.0	12.871316589063696
5.0	10.087354362769489
6.0	9.500631742726782
7.0	7.761596597048964
8.0	7.277401766936279
9.0	6.133950351790233
10.0	5.725723608352411
11.0	4.944525604108009
12.0	4.602730242557001
13.0	4.053447254589585
14.0	3.774415326861856
15.0	3.381134091258218
16.0	3.161637890668075
17.0	2.875646724407005
18.0	2.7059094145057543
19.0	2.4950584182985267
20.0	2.3639092972408093
21.0	2.2057041477321633
22.0	2.103065318479807
23.0	1.9811758016896164
24.0	1.8996578064101328
25.0	1.8024625588081733
26.0	1.735995933717419
27.0	1.6576374817141613
28.0	1.6019531531403999
29.0	1.5363484268183498
30.0	1.4890325339639077
31.0	1.4333969883560371
32.0	1.3922217757787934
33.0	1.3447763923577583
34.0	1.3088860674561715
35.0	1.267077273664853
36.0	1.234916555840826
37.0	1.1985686002592644
38.0	1.1704062272391695
39.0	1.138195996364061
40.0	1.1128758450420833
41.0	1.0839812629340315
42.0	1.0610855918308886
43.0	1.0350321694788391
44.0	1.014109454081705
45.0	0.9906904446302462
46.0	0.9715247788329577
47.0	0.9499189027992685
48.0	0.9324204197504002
49.0	0.9125516155305462
50.0	0.8961264904739181
51.0	0.8777754006498526
