#Insert size (bp)	insert size
1.0	21.0
2.0	4543.0
3.0	3652.0
4.0	3759.0
5.0	2675.0
6.0	2934.0
7.0	2498.0
8.0	3301.0
9.0	3623.0
10.0	4380.0
11.0	4887.0
12.0	4423.0
13.0	4361.0
14.0	4349.0
15.0	3965.0
16.0	4326.0
17.0	4241.0
18.0	4393.0
19.0	1.1168376E7
20.0	6129176.0
21.0	3484860.0
22.0	1563995.0
23.0	874540.0
24.0	623881.0
25.0	587853.0
26.0	556476.0
27.0	487568.0
28.0	453683.0
29.0	608091.0
30.0	362297.0
31.0	349996.0
32.0	347317.0
33.0	309666.0
34.0	299930.0
35.0	281801.0
36.0	269638.0
37.0	259784.0
38.0	250494.0
39.0	239607.0
40.0	226051.0
41.0	220324.0
42.0	225487.0
43.0	198853.0
44.0	196744.0
45.0	184736.0
46.0	178801.0
47.0	196643.0
48.0	171972.0
49.0	158496.0
50.0	158983.0
51.0	155880.0
52.0	147860.0
53.0	139662.0
54.0	135959.0
55.0	129584.0
56.0	130758.0
57.0	120421.0
58.0	120066.0
59.0	119014.0
60.0	114669.0
61.0	113468.0
62.0	115027.0
63.0	105882.0
64.0	113589.0
65.0	104652.0
66.0	99331.0
67.0	97457.0
68.0	99078.0
69.0	94752.0
70.0	90899.0
71.0	98676.0
72.0	97701.0
73.0	88975.0
74.0	90310.0
75.0	84066.0
76.0	83923.0
77.0	83211.0
78.0	82200.0
79.0	79253.0
80.0	81410.0
81.0	80480.0
82.0	77259.0
83.0	80713.0
84.0	75208.0
85.0	75968.0
86.0	78324.0
87.0	72757.0
88.0	71494.0
89.0	74658.0
90.0	68724.0
91.0	69183.0
92.0	69254.0
93.0	68813.0
94.0	69249.0
95.0	70517.0
96.0	68175.0
97.0	66579.0
98.0	70131.0
99.0	66040.0
100.0	67412.0
101.0	65437.0
102.0	63666.0
103.0	66804.0
104.0	65846.0
105.0	64183.0
106.0	64284.0
107.0	69954.0
108.0	65743.0
109.0	62352.0
110.0	64229.0
