#GC Content (%)	Sample
1.0	2.1999978440021128E-7
2.0	2.1999978440021128E-7
3.0	1.6499983830015847E-5
4.0	3.2999967660031693E-6
5.0	1.539998490801479E-6
6.0	5.05999504120486E-6
7.0	4.619995472404437E-6
8.0	8.139992022807819E-6
9.0	1.033998986680993E-5
10.0	6.62199351044636E-5
11.0	2.543197507666443E-4
12.0	2.617997434362514E-5
13.0	5.147994954964944E-5
14.0	6.533993596686275E-5
15.0	1.0735989478730313E-4
16.0	1.440998587821384E-4
17.0	6.753993381086486E-5
18.0	8.931991246648578E-5
19.0	0.0013789586486205243
20.0	9.547990642969171E-4
21.0	2.628997423582525E-4
22.0	5.647394465553425E-4
23.0	3.3681966991672347E-4
24.0	3.599196472787457E-4
25.0	0.0022930577528034023
26.0	0.0015679384634203057
27.0	0.0020279580126011474
28.0	0.0018691181682641952
29.0	0.0018039982320817325
30.0	0.0023183577280094267
31.0	0.003448496620473312
32.0	0.006109834012362667
33.0	0.010164870038427361
34.0	0.021039899380898605
35.0	0.024422396066051857
36.0	0.02718735335639371
37.0	0.028610311961894275
38.0	0.031727488907060876
39.0	0.037910582847628806
40.0	0.043792277083568455
41.0	0.04771267324158021
42.0	0.05033529067141514
43.0	0.051958669080504304
44.0	0.05271964833474464
45.0	0.05404272703812751
46.0	0.05544984565915126
47.0	0.05614988497311273
48.0	0.05561396549831382
49.0	0.053713607360664786
50.0	0.05038435062333639
51.0	0.04947267151678192
52.0	0.034176306507219624
53.0	0.033375727291787255
54.0	0.026693893839984037
55.0	0.022057398383749583
56.0	0.017644642708250148
57.0	0.012878567379003968
58.0	0.00844601172290851
59.0	0.0054339946746852184
60.0	0.0034924965773533547
61.0	0.0023183577280094262
62.0	0.0016693583640288033
63.0	0.001251578773452802
64.0	7.985992173727669E-4
65.0	4.954395144692759E-4
66.0	2.8027972532586917E-4
67.0	1.1373988853490925E-4
68.0	6.181993941645938E-5
69.0	3.607996464163465E-5
70.0	2.9259971325228104E-5
71.0	1.8919981458418168E-5
72.0	1.1659988573211196E-5
73.0	6.599993532006339E-6
74.0	1.0559989651210142E-5
75.0	1.1219989004410776E-5
76.0	4.6199954724044365E-6
77.0	3.739996334803592E-6
78.0	2.8599971972027467E-6
79.0	1.0999989220010564E-6
80.0	3.079996981602958E-6
81.0	4.3999956880042257E-7
82.0	8.799991376008451E-7
83.0	4.3999956880042257E-7
84.0	1.9799980596019016E-6
85.0	4.3999956880042257E-7
86.0	1.0999989220010564E-6
87.0	4.3999956880042257E-7
88.0	2.1999978440021128E-7
89.0	1.3199987064012677E-6
90.0	2.1999978440021128E-7
91.0	2.1999978440021128E-7
92.0	8.799991376008451E-7
93.0	2.1999978440021128E-7
94.0	1.0999989220010564E-6
95.0	0.0
96.0	0.0
97.0	1.0999989220010565E-5
98.0	0.0
99.0	0.0
100.0	2.397997649962303E-5
