#Mapping quality	mapping quality
0.0	9.3038887E7
1.0	3967975.0
2.0	3877742.0
3.0	4436264.0
4.0	4450225.0
5.0	4113927.0
6.0	7585240.0
7.0	6001240.0
8.0	4124377.0
9.0	7100177.0
10.0	3809232.0
11.0	3248314.0
12.0	4615052.0
13.0	4737963.0
14.0	3417889.0
15.0	3644009.0
16.0	3864541.0
17.0	3363006.0
18.0	4112612.0
19.0	3649875.0
20.0	6891750.0
21.0	3955714.0
22.0	2492664.0
23.0	2558652.0
24.0	3050694.0
25.0	2268841.0
26.0	4566937.0
27.0	2732579.0
28.0	2164501.0
29.0	1975584.0
30.0	3337547.0
31.0	2053261.0
32.0	2344981.0
33.0	2533365.0
34.0	1546695.0
35.0	1507495.0
36.0	2131892.0
37.0	1219706.0
38.0	1377481.0
39.0	1199609.0
40.0	3.0023271E7
41.0	1272881.0
42.0	1400049.0
43.0	1419229.0
44.0	1335675.0
45.0	1535023.0
46.0	6323038.0
47.0	855487.0
48.0	1155010.0
49.0	1030444.0
50.0	1143228.0
51.0	1059085.0
52.0	2455477.0
53.0	1087218.0
54.0	1312471.0
55.0	1301013.0
56.0	1500671.0
57.0	1765300.0
58.0	2368756.0
59.0	2462471.0
60.0	1.1235982E7
