Sample	qualimap_bamqc-avg_gc	qualimap_bamqc-median_insert_size	qualimap_bamqc-1_x_pc	qualimap_bamqc-5_x_pc	qualimap_bamqc-10_x_pc	qualimap_bamqc-30_x_pc	qualimap_bamqc-50_x_pc	qualimap_bamqc-median_coverage	qualimap_bamqc-mean_coverage	qualimap_bamqc-general_error_rate	qualimap_bamqc-percentage_aligned	qualimap_bamqc-mapped_reads	qualimap_bamqc-total_reads
S24-109-01_S1_L001	45.48542458497453	21	17.825088058563136	7.7359257393436796	4.010379727535653	1.112267285839096	0.6508653175585903	0	2.1401	5.89	56.20034082706133	66.474052	118.280514
S24-109-02_S2_L001	45.08444735724159	21	20.117847831473714	10.087354362769489	5.7257236083524035	1.4890325339639288	0.8961264904739212	0	2.983	5.66	62.90678913172913	98.55064899999999	156.661388
S24-109-03_S3_L001	44.67932731863347	21	19.16858228856039	8.912178688008481	4.795732447560336	1.2728362521232703	0.6312641227515882	0	2.5991	5.92	61.927787048997565	83.88801199999999	135.46102
S24-109-04_S4_L001	45.6592691088604	23	15.289659446181524	5.916310691501794	2.914588871831591	0.881367950823266	0.44068334488350247	0	1.622	6.43	47.71178843272117	44.826502	93.952676
S24-109-05_S5_L001									1.9423	6.01	55.06006833398437	59.268349	107.64307199999999
S24-109-A_S6_L001									2.6757	4.31	67.90122106384902	114.345238	168.399384
S24-109-B_S7_L001									3.3899	4.62	73.3902215764249	134.387421	183.11352399999998
S24-109-C_S8_L001									2.167	4.16	67.77770214335395	92.67897099999999	136.739618
S24-109-D_S9_L001									3.4461	4.72	71.45423087596124	132.567917	185.528436
S24-109-E_S10_L001									2.5539	4.67	69.66671636026234	96.573971	138.622826
