Sample	total_reads	mapped_reads	mapped_bases	sequenced_bases	mean_insert_size	median_insert_size	mean_mapping_quality	gc_percentage	general_error_rate	homopolymer_indels	mean_coverage	percentage_aligned
S24-109-01_S1_L001	118280514	66474052	3224446829	3219902508	14796.0933	22.0	11.0763	45.06	5.89	29.25	2.1401	56.20034082706133
S24-109-02_S2_L001	156661388	98550649	4494429992	4488511608	10341.8393	22.0	11.6866	44.66	5.66	29.21	2.983	62.90678913172913
S24-109-03_S3_L001	135461020	83888012	3915964309	3910701291	11064.8408	22.0	11.4784	44.25	5.92	29.72	2.5991	61.927787048997565
S24-109-04_S4_L001	93952676	44826502	2443887488	2440194709	22187.3336	28.0	10.504	45.23	6.43	29.19	1.622	47.71178843272117
S24-109-05_S5_L001	107643072	59268349	2926355725	2922189690	15624.8357	23.0	10.9284	45.0	6.01	29.62	1.9423	55.06006833398437
S24-109-A_S6_L001	168399384	114345238	4031465831	4027511861	3034.5412	20.0	12.4525	43.17	4.31	28.22	2.6757	67.90122106384902
S24-109-B_S7_L001	183113524	134387421	5107401148	5102095508	3165.0708	21.0	12.5752	43.92	4.62	28.59	3.3899	73.3902215764249
S24-109-C_S8_L001	136739618	92678971	3264975163	3261827881	2796.9457	20.0	12.2589	42.95	4.16	27.87	2.167	67.77770214335395
S24-109-D_S9_L001	185528436	132567917	5192082057	5186715123	3672.599	21.0	12.4009	43.8	4.72	29.72	3.4461	71.45423087596124
S24-109-E_S10_L001	138622826	96573971	3847931477	3843968272	4307.941	21.0	12.1195	43.69	4.67	29.39	2.5539	69.66671636026234
